# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.135119 -0.0708582 2.08376
2000 -0.160766 0.123253 3.94287
3000 0.0353019 -0.0392656 6.29941
4000 -0.0139444 -0.0237236 8.32398
5000 0.0186428 0.01646 10.3675
6000 0.000490536 0.0201623 12.3497
7000 -0.00815674 -0.00444014 14.218
8000 0.00061345 0.00372276 16.1315
9000 0.0171946 -0.010511 18.0871
10000 -0.0130505 0.0241917 19.966
11000 0.0233792 -0.0355184 21.7953
12000 -0.0225708 0.0378657 23.7073
13000 0.0295282 -0.0146882 25.5328
14000 -0.0272875 0.0116909 27.3596
15000 0.0251076 -0.0303674 29.1954
16000 -0.0221686 0.0402318 31.0701
17000 0.0319279 -0.0150061 32.8809
18000 -0.0263305 0.0163995 34.7897
19000 0.0262034 -0.0172791 36.6826
20000 -0.0226455 0.0226949 38.6681
21000 0.0291422 -0.0107731 40.5477
22000 -0.0129795 0.0139372 42.393
23000 -0.00418014 -0.010599 44.1634
24000 0.00529714 -8.65272e-05 45.8842
25000 0.0111312 0.000488712 47.6049
26000 -0.00668248 0.00781334 49.2312
27000 0.00581933 0.00792745 50.797
28000 0.00294458 -0.00278276 52.3271
29000 0.0024227 0.0225103 53.7852
30000 0.0256866 -0.018297 55.2192
31000 -0.0170601 0.0258815 56.5707
32000 0.00943529 -0.00252924 57.9081
33000 -8.23446e-05 0.00979344 59.2557
34000 -0.00444699 -0.0189035 60.6354
35000 0.00753374 0.00781929 61.9249
36000 -0.00948618 0.00435107 63.1872
37000 -0.00176863 -0.00114875 64.4374
38000 0.0102264 0.014541 65.6284
39000 0.00432837 0.0104872 66.873
40000 0.00636811 -0.00937265 68.1054
41000 -0.00113515 -0.00536553 69.3385
42000 -0.00839586 -0.000979671 70.5462
43000 0.00370262 0.00854793 71.712
44000 0.0240591 0.0109942 72.9446
45000 -0.00479408 0.00538465 74.153
46000 0.000207026 -0.010565 75.3905
47000 -9.33087e-06 0.00360818 76.6361
48000 0.017767 0.00498632 77.8303
49000 -0.00907496 -0.00642782 79.0745
50000 0.00201972 0.0131637 80.3492
51000 0.0181733 -0.00647027 81.6109
52000 -0.0099038 0.00966008 82.9761
53000 -0.000966423 -0.0154405 84.2827
54000 0.0103547 0.0197386 85.7199
55000 0.0114171 0.00312095 87.1923
56000 0.00986712 0.00105738 88.7864
57000 -0.00509739 -0.00776549 90.3919
58000 -0.00486666 6.64384e-05 92.2138
59000 0.000483776 0.00983807 94.2222
60000 0.0108401 0.0098172 96.2969
61000 -0.00101087 0.00580642 98.7414
62000 0.00558232 0.00906158 101.472
63000 -0.00110354 0.00450901 104.41
64000 0.00671425 0.00562383 107.666
65000 -0.00910517 -0.00258489 111.469
66000 0.00649184 -0.0168263 115.462
67000 0.00392068 0.0100877 119.916
68000 -0.00481721 0.0165105 124.643
69000 0.0171156 -0.015295 129.673
70000 -0.000166827 0.0174163 135.102
71000 -0.00281841 0.00294242 140.623
72000 -0.00197895 0.00742155 146.615
73000 0.00414885 0.00266842 152.926
74000 0.00828468 0.00229214 159.676
75000 0.0018937 0.00641944 167.054
76000 0.00584304 0.00377743 175.004
77000 -0.000289386 -0.000161183 183.383
78000 -0.0945441 -0.165522 91.4007
79000 -0.0169469 0.0406154 -2.29882
80000 0.0169941 0.013203 -1.27273
81000 -0.00404234 -0.0314217 -0.450173
82000 0.0579686 -0.00841946 -0.0919297
83000 -0.0362046 0.0187279 0.10416
84000 0.0137949 0.0125403 0.0251011
85000 0.0037071 -0.0220329 -0.434869
86000 0.0127999 0.0188682 -0.0690076
87000 -0.0166054 0.00438355 0.103285
88000 0.0127129 -0.0120886 -0.0809515
89000 0.00729916 -0.000304051 0.0128524
90000 -0.00296174 0.0155272 0.0653004
91000 0.00345349 0.00288461 -0.104732
92000 -0.00143467 0.0141035 -0.227958
93000 0.00738333 -0.0101493 -0.111443
94000 0.0103394 0.00119571 0.040213
95000 -0.00967693 0.00691878 0.00292009
96000 0.0122725 0.0123591 -0.0160284
97000 0.000418141 -0.0151481 -0.0141585
98000 0.0200508 -0.000131096 -0.0374863
99000 -0.0193733 0.00952651 -0.0690412
100000 -7.18842e-05 -0.00113526 -0.169886
101000 0.0108272 0.00605354 0.0187785
102000 -0.00616775 -0.00621851 -0.0019177
103000 0.00842672 0.0082829 -0.021242
104000 0.00227315 0.00168523 -0.0294526
105000 -0.0168674 0.0101315 -0.0872614
106000 0.0325347 0.00294474 -0.0663632
107000 0.00122498 0.00521361 0.0182581
108000 0.0155801 -0.0189885 -0.0120292
109000 -0.0113527 -0.00146551 -0.0222241
110000 -0.00362708 -0.00328804 -0.174191
111000 0.0128242 0.00917784 0.0155915
112000 -2.29289e-05 0.0038096 -0.0456147
113000 -0.00362614 0.0206582 0.0852103
114000 0.00946974 -0.00247698 0.0213633
115000 -0.00842431 -0.00330442 -0.0870416
116000 -0.00231198 0.025035 -0.0472394
117000 0.0156093 -0.0280346 -0.102083
118000 0.0071888 0.00304926 -0.060948
119000 -0.000925866 -0.00954642 0.0210651
120000 0.00932744 -0.00277435 0.00692725
121000 0.00915252 0.0140779 0.0483876
122000 0.0092459 -0.00848695 -0.0209001
123000 -0.00887781 0.00556154 -0.0595207
124000 0.0117415 0.0159636 0.00327976
125000 0.00699369 -0.0230538 -0.077578
126000 -0.00427238 0.0124402 0.0105434
127000 -0.0187804 0.0293413 0.0116646
128000 0.0130622 0.00361528 0.0477925
